WARD,NEIGHBOURHOOD_NUMBER,STRUCTURE_TYPE,OCCUPIED,UNOCCUPIED,NO_LONGER_IN_USE,NO_RESPONSE
Ward 1,4740,No Response,0,0,0,0
Ward 1,4750,Single Detached House,31,1,3,0
Ward 1,4750,Duplex/Fourplex,0,0,0,0
Ward 1,4750,Row House,0,0,0,0
Ward 1,4750,Apartment (5+ stories),0,0,0,0
Ward 1,4750,Apartment (1-4 stories),0,0,0,0
Ward 1,4750,Manufactured/Mobile Home,0,0,0,0
Ward 1,4750,Institution/Collective Residence,0,0,0,0
Ward 1,4750,Hotel/Motel,0,0,0,0
Ward 1,4750,RV/Tent/Other,0,0,0,0
Ward 1,4750,No Response,0,0,0,0
Ward 2,1110,Single Detached House,0,0,0,0
Ward 2,1110,Duplex/Fourplex,0,0,0,0
Ward 2,1110,Row House,0,0,0,0
Ward 2,1110,Apartment (5+ stories),0,0,0,0
Ward 2,1110,Apartment (1-4 stories),0,0,0,0
Ward 2,1110,Manufactured/Mobile Home,0,0,0,0
Ward 2,1110,Institution/Collective Residence,0,0,0,0
Ward 2,1110,Hotel/Motel,0,0,0,0
Ward 2,1110,RV/Tent/Other,0,0,0,0
Ward 2,1110,No Response,0,0,0,0
Ward 2,1170,Single Detached House,356,33,22,0
Ward 2,1170,Duplex/Fourplex,33,9,7,0
Ward 2,1170,Row House,12,1,0,0
Ward 2,1170,Apartment (5+ stories),0,0,0,0
Ward 2,1170,Apartment (1-4 stories),227,11,13,0
Ward 2,1170,Manufactured/Mobile Home,0,0,0,0
Ward 2,1170,Institution/Collective Residence,14,1,0,0
Ward 2,1170,Hotel/Motel,0,1,0,0
Ward 2,1170,RV/Tent/Other,0,0,0,0
Ward 2,1170,No Response,0,0,0,0
Ward 2,1230,Single Detached House,548,58,65,0
Ward 2,1230,Duplex/Fourplex,45,3,4,0
Ward 2,1230,Row House,84,9,3,0
Ward 2,1230,Apartment (5+ stories),48,0,14,0
Ward 2,1230,Apartment (1-4 stories),105,60,9,0
Ward 2,1230,Manufactured/Mobile Home,0,0,0,0
Ward 2,1230,Institution/Collective Residence,56,104,2,0
Ward 2,1230,Hotel/Motel,0,1,0,0
Ward 2,1230,RV/Tent/Other,0,0,0,0
Ward 2,1230,No Response,0,0,0,0
Ward 2,1250,Single Detached House,428,54,42,0
Ward 2,1250,Duplex/Fourplex,136,18,3,0
Ward 2,1250,Row House,0,0,0,0
Ward 2,1250,Apartment (5+ stories),0,0,0,0
Ward 2,1250,Apartment (1-4 stories),1377,45,33,0
Ward 2,1250,Manufactured/Mobile Home,0,0,0,0
Ward 2,1250,Institution/Collective Residence,0,1,0,0
Ward 2,1250,Hotel/Motel,0,0,0,0
Ward 2,1250,RV/Tent/Other,0,0,0,0
Ward 2,1250,No Response,0,0,0,0
Ward 2,1280,Single Detached House,0,0,0,0
Ward 2,1280,Duplex/Fourplex,0,0,0,0
Ward 2,1280,Row House,0,0,0,0
Ward 2,1280,Apartment (5+ stories),0,0,0,0
Ward 2,1280,Apartment (1-4 stories),0,0,0,0
Ward 2,1280,Manufactured/Mobile Home,0,0,0,0
Ward 2,1280,Institution/Collective Residence,0,0,0,0
Ward 2,1280,Hotel/Motel,0,0,0,0
Ward 2,1280,RV/Tent/Other,0,0,0,0
Ward 2,1280,No Response,0,0,0,0
Ward 2,3010,Single Detached House,968,45,39,0
Ward 2,3010,Duplex/Fourplex,22,1,6,0
Ward 2,3010,Row House,135,8,13,0
Ward 2,3010,Apartment (5+ stories),0,0,0,0
Ward 2,3010,Apartment (1-4 stories),16,1,0,0
Ward 2,3010,Manufactured/Mobile Home,0,0,0,0
Ward 2,3010,Institution/Collective Residence,4,1,0,0
Ward 2,3010,Hotel/Motel,0,0,0,0
Ward 2,3010,RV/Tent/Other,0,0,0,0
Ward 2,3010,No Response,0,0,0,0
Ward 2,3020,Single Detached House,5,2,0,0
Ward 2,3020,Duplex/Fourplex,80,4,0,0
Ward 2,3020,Row House,2,2,0,0
Ward 2,3020,Apartment (5+ stories),0,0,0,0
Ward 2,3020,Apartment (1-4 stories),506,22,11,0
Ward 2,3020,Manufactured/Mobile Home,0,0,0,0
Ward 2,3020,Institution/Collective Residence,186,50,0,0
Ward 2,3020,Hotel/Motel,0,0,0,0
Ward 2,3020,RV/Tent/Other,0,0,0,0
Ward 2,3020,No Response,0,0,0,0
Ward 2,3050,Single Detached House,0,0,0,0
Ward 2,3050,Duplex/Fourplex,0,0,0,0
Ward 2,3050,Row House,0,0,0,0
Ward 2,3050,Apartment (5+ stories),0,0,0,0
Ward 2,3050,Apartment (1-4 stories),0,0,0,0
Ward 2,3050,Manufactured/Mobile Home,0,0,0,0
Ward 2,3050,Institution/Collective Residence,0,0,0,0
Ward 2,3050,Hotel/Motel,0,0,0,0
Ward 2,3050,RV/Tent/Other,0,0,0,0
Ward 2,3050,No Response,0,0,0,0
Ward 2,3060,Single Detached House,917,9,8,0
Ward 2,3060,Duplex/Fourplex,146,1,0,0
Ward 2,3060,Row House,399,20,3,0
Ward 2,3060,Apartment (5+ stories),0,0,0,0
Ward 2,3060,Apartment (1-4 stories),104,2,4,0
Ward 2,3060,Manufactured/Mobile Home,0,0,0,0
Ward 2,3060,Institution/Collective Residence,0,0,0,0
Ward 2,3060,Hotel/Motel,0,0,0,0
Ward 2,3060,RV/Tent/Other,1,0,0,0
Ward 2,3060,No Response,0,0,0,0
Ward 2,3070,Single Detached House,1126,53,124,0
Ward 2,3070,Duplex/Fourplex,401,26,71,0
Ward 2,3070,Row House,28,1,5,0
Ward 2,3070,Apartment (5+ stories),0,0,0,0
Ward 2,3070,Apartment (1-4 stories),213,14,13,0
Ward 2,3070,Manufactured/Mobile Home,0,0,0,0
Ward 2,3070,Institution/Collective Residence,63,1,10,0
Ward 2,3070,Hotel/Motel,1,0,0,0
Ward 2,3070,RV/Tent/Other,0,0,4,0
Ward 2,3070,No Response,0,0,0,0
Ward 2,3090,Single Detached House,757,12,5,0
Ward 2,3090,Duplex/Fourplex,126,7,0,0
Ward 2,3090,Row House,356,8,8,0
Ward 2,3090,Apartment (5+ stories),0,0,0,0
Ward 2,3090,Apartment (1-4 stories),122,3,2,0
Ward 2,3090,Manufactured/Mobile Home,0,0,0,0
Ward 2,3090,Institution/Collective Residence,0,0,0,0
Ward 2,3090,Hotel/Motel,0,0,0,0
Ward 2,3090,RV/Tent/Other,1,0,0,0
Ward 2,3090,No Response,0,0,0,0
Ward 2,3111,Single Detached House,607,75,12,0
Ward 2,3111,Duplex/Fourplex,245,23,0,0
Ward 2,3111,Row House,285,37,2,0
Ward 2,3111,Apartment (5+ stories),0,0,0,0
Ward 2,3111,Apartment (1-4 stories),144,33,1,0
Ward 2,3470,Row House,78,28,1,0
Ward 2,3111,Manufactured/Mobile Home,0,0,0,0
Ward 2,3111,Institution/Collective Residence,112,148,0,0
Ward 2,3111,Hotel/Motel,0,0,0,0
Ward 2,3111,RV/Tent/Other,2,0,0,0
Ward 2,3111,No Response,0,0,0,0
Ward 2,3150,Single Detached House,1730,5,5,0
Ward 2,3150,Duplex/Fourplex,0,0,0,0
Ward 2,3150,Row House,211,5,0,0
Ward 2,3150,Apartment (5+ stories),0,0,0,0
Ward 2,3150,Apartment (1-4 stories),211,1,2,0
Ward 2,3150,Manufactured/Mobile Home,0,0,0,0
Ward 2,3150,Institution/Collective Residence,0,0,0,0
Ward 2,3150,Hotel/Motel,0,0,0,0
Ward 2,3150,RV/Tent/Other,0,0,0,0
Ward 2,3150,No Response,0,0,0,0
Ward 2,3160,Single Detached House,0,0,0,0
Ward 2,3160,Duplex/Fourplex,0,0,0,0
Ward 2,3160,Row House,0,0,0,0
Ward 2,3160,Apartment (5+ stories),0,0,0,0
Ward 2,3160,Apartment (1-4 stories),0,0,0,0
Ward 2,3160,Manufactured/Mobile Home,0,0,0,0
Ward 2,3160,Institution/Collective Residence,0,0,0,0
Ward 2,3160,Hotel/Motel,0,0,0,0
Ward 2,3160,RV/Tent/Other,0,0,0,0
Ward 2,3160,No Response,0,0,0,0
Ward 2,3170,Single Detached House,753,25,28,0
Ward 2,3170,Duplex/Fourplex,19,3,11,0
Ward 2,3170,Row House,98,2,3,0
Ward 2,3170,Apartment (5+ stories),0,0,0,0
Ward 2,3170,Apartment (1-4 stories),0,0,0,0
Ward 2,3170,Manufactured/Mobile Home,0,0,0,0
Ward 2,3170,Institution/Collective Residence,2,0,0,0
Ward 2,3170,Hotel/Motel,0,0,0,0
Ward 2,3170,RV/Tent/Other,0,0,0,0
Ward 2,3170,No Response,0,0,0,0
Ward 2,3220,Single Detached House,0,0,0,0
Ward 2,3220,Duplex/Fourplex,0,0,0,0
Ward 2,3220,Row House,0,0,0,0
Ward 2,3220,Apartment (5+ stories),0,0,0,0
Ward 2,3220,Apartment (1-4 stories),0,0,0,0
Ward 2,3220,Manufactured/Mobile Home,0,0,0,0
Ward 2,3220,Institution/Collective Residence,0,0,0,0
Ward 2,3220,Hotel/Motel,0,0,0,0
Ward 2,3220,RV/Tent/Other,0,0,0,0
Ward 2,3220,No Response,0,0,0,0
Ward 2,3230,Single Detached House,0,0,0,0
Ward 2,3230,Duplex/Fourplex,0,0,0,0
Ward 2,3230,Row House,0,0,0,0
Ward 2,3230,Apartment (5+ stories),0,0,0,0
Ward 2,3230,Apartment (1-4 stories),0,0,0,0
Ward 2,3230,Manufactured/Mobile Home,0,0,0,0
Ward 2,3230,Institution/Collective Residence,0,0,0,0
Ward 2,3230,Hotel/Motel,0,0,0,0
Ward 2,3230,RV/Tent/Other,0,0,0,0
Ward 2,3230,No Response,0,0,0,0
Ward 2,3240,Single Detached House,929,75,92,0
Ward 2,3240,Duplex/Fourplex,227,17,24,0
Ward 2,3240,Row House,16,3,0,0
Ward 2,3240,Apartment (5+ stories),374,11,1,0
Ward 2,3240,Apartment (1-4 stories),2117,238,12,0
Ward 2,3240,Manufactured/Mobile Home,0,0,0,0
Ward 2,3240,Institution/Collective Residence,8,1,2,0
Ward 2,3240,Hotel/Motel,0,0,0,0
Ward 2,3240,RV/Tent/Other,0,0,0,0
Ward 2,3240,No Response,0,0,0,0
Ward 2,3250,Single Detached House,1017,30,56,0
Ward 2,3250,Duplex/Fourplex,214,18,16,0
Ward 2,3250,Row House,27,0,2,0
Ward 2,3250,Apartment (5+ stories),0,0,0,0
Ward 2,3250,Apartment (1-4 stories),406,20,18,0
Ward 2,3250,Manufactured/Mobile Home,0,0,0,0
Ward 2,3250,Institution/Collective Residence,3,1,24,0
Ward 2,3250,Hotel/Motel,0,0,0,0
Ward 2,3250,RV/Tent/Other,0,0,1,0
Ward 2,3250,No Response,0,0,0,0
Ward 2,3260,Single Detached House,611,24,20,0
Ward 2,3260,Duplex/Fourplex,213,23,36,0
Ward 2,3260,Row House,129,7,10,0
Ward 2,3260,Apartment (5+ stories),0,0,0,0
Ward 2,3260,Apartment (1-4 stories),216,8,7,0
Ward 2,3260,Manufactured/Mobile Home,0,0,0,0
Ward 2,3260,Institution/Collective Residence,2,0,0,0
Ward 2,3260,Hotel/Motel,0,0,0,0
Ward 2,3260,RV/Tent/Other,1,0,0,0
Ward 2,3260,No Response,0,0,0,0
Ward 2,3290,Single Detached House,0,0,0,0
Ward 2,3290,Duplex/Fourplex,0,0,0,0
Ward 2,3290,Row House,0,0,0,0
Ward 2,3290,Apartment (5+ stories),0,0,0,0
Ward 2,3290,Apartment (1-4 stories),0,0,0,0
Ward 2,3290,Manufactured/Mobile Home,0,0,0,0
Ward 2,3290,Institution/Collective Residence,0,0,0,0
Ward 2,3290,Hotel/Motel,0,0,0,0
Ward 2,3290,RV/Tent/Other,0,0,0,0
Ward 2,3290,No Response,0,0,0,0
Ward 2,3320,Single Detached House,847,25,0,0
Ward 2,3320,Duplex/Fourplex,145,9,0,0
Ward 2,3320,Row House,37,39,0,0
Ward 2,3320,Apartment (5+ stories),0,0,0,0
Ward 2,3320,Apartment (1-4 stories),159,6,9,0
Ward 2,3320,Manufactured/Mobile Home,0,0,0,0
Ward 2,3320,Institution/Collective Residence,0,0,0,0
Ward 2,3320,Hotel/Motel,0,0,0,0
Ward 2,3320,RV/Tent/Other,1,0,0,0
Ward 2,3320,No Response,0,0,0,0
Ward 2,3340,Single Detached House,0,0,0,0
Ward 2,3340,Duplex/Fourplex,0,0,0,0
Ward 2,3340,Row House,42,1,0,0
Ward 2,3340,Apartment (5+ stories),0,0,0,0
Ward 2,3340,Apartment (1-4 stories),240,9,0,0
Ward 2,3340,Manufactured/Mobile Home,0,0,0,0
Ward 2,3340,Institution/Collective Residence,0,0,0,0
Ward 2,3340,Hotel/Motel,0,0,0,0
Ward 2,3340,RV/Tent/Other,0,0,7,0
Ward 2,3340,No Response,0,0,0,0
Ward 2,3350,Single Detached House,475,30,40,0
Ward 2,3350,Duplex/Fourplex,116,9,6,0
Ward 2,3350,Row House,27,0,4,0
Ward 2,3350,Apartment (5+ stories),0,0,0,0
Ward 2,3350,Apartment (1-4 stories),19,2,9,0
Ward 2,3350,Manufactured/Mobile Home,0,0,0,0
Ward 2,3350,Institution/Collective Residence,7,0,0,0
Ward 2,3350,Hotel/Motel,0,0,0,0
Ward 2,3350,RV/Tent/Other,0,0,0,0
Ward 2,3350,No Response,0,0,0,0
Ward 2,3360,Single Detached House,0,0,0,0
Ward 2,3360,Duplex/Fourplex,0,0,0,0
Ward 2,3360,Row House,0,0,0,0
Ward 2,3360,Apartment (5+ stories),0,0,0,0
Ward 2,3360,Apartment (1-4 stories),0,0,0,0
Ward 2,3360,Manufactured/Mobile Home,0,0,0,0
Ward 2,3360,Institution/Collective Residence,0,0,0,0
Ward 2,3360,Hotel/Motel,0,0,0,0
Ward 2,3360,RV/Tent/Other,0,0,0,0
Ward 2,3360,No Response,0,0,0,0
Ward 2,3390,Single Detached House,854,25,13,0
Ward 2,3390,Duplex/Fourplex,85,5,7,0
Ward 2,3390,Row House,69,1,0,0
Ward 2,3390,Apartment (5+ stories),0,0,0,0
Ward 2,3390,Apartment (1-4 stories),70,2,1,0
Ward 2,3390,Manufactured/Mobile Home,0,0,0,0
Ward 2,3390,Institution/Collective Residence,222,2,2,0
Ward 2,3390,Hotel/Motel,0,1,0,0
Ward 2,3390,RV/Tent/Other,2,0,0,0
Ward 2,3390,No Response,0,0,0,0
Ward 2,3410,Single Detached House,703,44,41,0
Ward 2,3410,Duplex/Fourplex,1,1,8,0
Ward 2,3410,Row House,146,7,1,0
Ward 2,3410,Apartment (5+ stories),0,0,0,0
Ward 2,3410,Apartment (1-4 stories),166,28,1,0
Ward 2,3410,Manufactured/Mobile Home,0,0,0,0
Ward 2,3410,Institution/Collective Residence,0,0,0,0
Ward 2,3410,Hotel/Motel,0,0,0,0
Ward 2,3410,RV/Tent/Other,2,0,0,0
Ward 2,3410,No Response,0,0,0,0
Ward 2,3430,Single Detached House,904,23,2,0
Ward 2,3430,Duplex/Fourplex,25,0,0,0
Ward 2,3430,Row House,214,5,1,0
Ward 2,3430,Apartment (5+ stories),0,0,0,0
Ward 2,3430,Apartment (1-4 stories),66,0,0,0
Ward 2,3430,Manufactured/Mobile Home,0,0,0,0
Ward 2,3430,Institution/Collective Residence,0,0,0,0
Ward 2,3430,Hotel/Motel,0,0,0,0
Ward 2,3430,RV/Tent/Other,0,0,0,0
Ward 2,3430,No Response,0,0,0,0
Ward 2,3450,Single Detached House,558,21,35,0
Ward 2,3450,Duplex/Fourplex,19,3,8,0
Ward 2,3450,Row House,193,7,0,0
Ward 2,3450,Apartment (5+ stories),374,15,5,0
Ward 2,3450,Apartment (1-4 stories),148,19,7,0
Ward 2,3450,Manufactured/Mobile Home,0,0,0,0
Ward 2,3450,Institution/Collective Residence,0,0,0,0
Ward 2,3450,Hotel/Motel,0,0,0,0
Ward 2,3450,RV/Tent/Other,0,0,0,0
Ward 2,3450,No Response,0,0,0,0
Ward 2,3460,Single Detached House,81,19,1,0
Ward 2,3460,Duplex/Fourplex,0,0,0,0
Ward 2,3460,Row House,55,3,1,0
Ward 2,3460,Apartment (5+ stories),0,0,0,0
Ward 2,3460,Apartment (1-4 stories),110,2,1,0
Ward 2,3460,Manufactured/Mobile Home,0,0,0,0
Ward 2,3460,Institution/Collective Residence,0,0,0,0
Ward 2,3460,Hotel/Motel,0,0,0,0
Ward 2,3460,RV/Tent/Other,0,0,0,0
Ward 2,3460,No Response,0,0,0,0
Ward 2,3470,Single Detached House,914,39,7,0
Ward 2,3470,Duplex/Fourplex,210,5,0,0
Ward 2,3470,Apartment (5+ stories),0,0,0,0
Ward 2,3470,Apartment (1-4 stories),83,341,1,0
Ward 2,3470,Manufactured/Mobile Home,2,0,0,0
Ward 2,3470,Institution/Collective Residence,0,0,0,0
Ward 2,3470,Hotel/Motel,0,0,0,0
Ward 2,3470,RV/Tent/Other,0,0,0,0
Ward 2,3470,No Response,0,0,0,0
Ward 2,3480,Single Detached House,388,4,1,0
Ward 2,3480,Duplex/Fourplex,110,10,0,0
Ward 2,3480,Row House,0,0,0,0
Ward 2,3480,Apartment (5+ stories),0,0,0,0
Ward 2,3480,Apartment (1-4 stories),170,12,1,0
Ward 2,3480,Manufactured/Mobile Home,0,0,0,0
Ward 2,3480,Institution/Collective Residence,0,0,0,0
Ward 2,3480,Hotel/Motel,0,0,0,0
Ward 2,3480,RV/Tent/Other,0,0,0,0
Ward 2,3480,No Response,0,0,0,0
Ward 2,3490,Single Detached House,0,0,1,0
Ward 2,3490,Duplex/Fourplex,0,0,0,0
Ward 2,3490,Row House,0,0,0,0
Ward 2,3490,Apartment (5+ stories),0,0,0,0
Ward 2,3490,Apartment (1-4 stories),0,0,0,0
Ward 2,3490,Manufactured/Mobile Home,0,0,0,0
Ward 2,3490,Institution/Collective Residence,0,0,0,0
Ward 2,3490,Hotel/Motel,0,0,0,0
Ward 2,3490,RV/Tent/Other,0,0,0,0
Ward 2,3490,No Response,0,0,0,0
Ward 2,4015,Single Detached House,0,0,0,0
Ward 2,4015,Duplex/Fourplex,0,0,0,0
Ward 2,4015,Row House,0,0,0,0
Ward 2,4015,Apartment (5+ stories),0,0,0,0
Ward 2,4015,Apartment (1-4 stories),0,0,0,0
Ward 2,4015,Manufactured/Mobile Home,0,0,0,0
Ward 2,4015,Institution/Collective Residence,0,0,0,0
Ward 2,4015,Hotel/Motel,0,0,0,0
Ward 2,4015,RV/Tent/Other,0,0,0,0
Ward 2,4015,No Response,0,0,0,0
Ward 2,4023,Single Detached House,0,0,0,0
Ward 2,4023,Duplex/Fourplex,0,0,0,0
Ward 2,4023,Row House,0,0,0,0
Ward 2,4023,Apartment (5+ stories),0,0,0,0
Ward 2,4023,Apartment (1-4 stories),0,0,0,0
Ward 2,4023,Manufactured/Mobile Home,0,0,0,0
Ward 2,4023,Institution/Collective Residence,0,0,0,0
Ward 2,4023,Hotel/Motel,0,0,0,0
Ward 2,4023,RV/Tent/Other,0,0,0,0
Ward 2,4023,No Response,0,0,0,0
Ward 2,4050,Single Detached House,0,0,0,0
Ward 2,4050,Duplex/Fourplex,0,0,0,0
Ward 2,4050,Row House,0,0,0,0
Ward 2,4050,Apartment (5+ stories),0,0,0,0
Ward 2,4050,Apartment (1-4 stories),0,0,0,0
Ward 2,4050,Manufactured/Mobile Home,0,0,0,0
Ward 2,4050,Institution/Collective Residence,0,0,0,0
Ward 2,4050,Hotel/Motel,0,0,0,0
Ward 2,4050,RV/Tent/Other,0,0,0,0
Ward 2,4050,No Response,0,0,0,0
Ward 2,4150,Single Detached House,0,0,0,0
Ward 2,4150,Duplex/Fourplex,0,0,0,0
Ward 2,4150,Row House,0,0,0,0
Ward 2,4150,Apartment (5+ stories),0,0,0,0
Ward 2,4150,Apartment (1-4 stories),0,0,0,0
Ward 2,4150,Manufactured/Mobile Home,0,0,0,0
Ward 2,4150,Institution/Collective Residence,0,0,0,0
Ward 2,4150,Hotel/Motel,0,0,0,0
Ward 2,4150,RV/Tent/Other,0,0,0,0
Ward 2,4150,No Response,0,0,0,0
Ward 2,4170,Single Detached House,0,0,0,0
Ward 2,4170,Duplex/Fourplex,0,0,0,0
Ward 2,4170,Row House,0,0,0,0
Ward 2,4170,Apartment (5+ stories),0,0,0,0
Ward 2,4170,Apartment (1-4 stories),0,0,0,0
Ward 2,4170,Manufactured/Mobile Home,0,0,0,0
Ward 2,4170,Institution/Collective Residence,0,0,0,0
Ward 2,4170,Hotel/Motel,0,0,0,0
Ward 2,4170,RV/Tent/Other,0,0,0,0
Ward 2,4170,No Response,0,0,0,0
Ward 2,4210,Single Detached House,0,0,0,0
Ward 2,4210,Duplex/Fourplex,0,0,0,0
Ward 2,4210,Row House,0,0,0,0
Ward 2,4210,Apartment (5+ stories),0,0,0,0
Ward 2,4210,Apartment (1-4 stories),0,0,0,0
Ward 2,4210,Manufactured/Mobile Home,0,0,0,0
Ward 2,4210,Institution/Collective Residence,0,0,0,0
Ward 2,4210,Hotel/Motel,0,0,0,0
Ward 2,4210,RV/Tent/Other,0,0,0,0
Ward 2,4210,No Response,0,0,0,0
Ward 2,4320,Single Detached House,0,0,0,0
Ward 2,4320,Duplex/Fourplex,0,0,0,0
Ward 2,4320,Row House,0,0,0,0
Ward 2,4320,Apartment (5+ stories),0,0,0,0
Ward 2,4320,Apartment (1-4 stories),0,0,0,0
Ward 2,4320,Manufactured/Mobile Home,0,0,0,0
Ward 2,4320,Institution/Collective Residence,0,0,0,0
Ward 2,4320,Hotel/Motel,0,0,0,0
Ward 2,4320,RV/Tent/Other,0,0,0,0
Ward 2,4320,No Response,0,0,0,0
Ward 2,4330,Single Detached House,0,0,0,0
Ward 2,4330,Duplex/Fourplex,0,0,0,0
Ward 2,4330,Row House,0,0,0,0
Ward 2,4330,Apartment (5+ stories),0,0,0,0
Ward 2,4330,Apartment (1-4 stories),0,0,0,0
Ward 2,4330,Manufactured/Mobile Home,0,0,0,0
Ward 2,4330,Institution/Collective Residence,0,0,0,0
Ward 2,4330,Hotel/Motel,0,0,0,0
Ward 2,4330,RV/Tent/Other,0,0,0,0
Ward 2,4330,No Response,0,0,0,0
Ward 3,2050,Single Detached House,1051,9,5,0
Ward 3,2050,Duplex/Fourplex,42,1,2,0
Ward 3,2050,Row House,68,3,0,0
Ward 3,2050,Apartment (5+ stories),0,0,0,0
Ward 3,2050,Apartment (1-4 stories),0,0,0,0
Ward 3,2050,Manufactured/Mobile Home,0,0,0,0
Ward 3,2050,Institution/Collective Residence,0,0,0,0
Ward 3,2050,Hotel/Motel,0,0,0,0
Ward 3,2050,RV/Tent/Other,2,0,0,0
Ward 3,2050,No Response,0,0,0,0
Ward 3,2210,Single Detached House,0,0,0,0
Ward 3,2210,Duplex/Fourplex,0,0,0,0
Ward 3,2210,Row House,0,0,0,0
Ward 3,2210,Apartment (5+ stories),0,0,0,0
Ward 3,2210,Apartment (1-4 stories),0,0,0,0
Ward 3,2210,Manufactured/Mobile Home,0,0,0,0
Ward 3,2210,Institution/Collective Residence,0,0,0,0
Ward 3,2210,Hotel/Motel,0,0,0,0
Ward 3,2210,RV/Tent/Other,0,0,0,0
Ward 3,2210,No Response,0,0,0,0
Ward 3,2241,Single Detached House,579,7,31,0
Ward 3,2241,Duplex/Fourplex,159,1,0,0
Ward 3,2241,Row House,0,0,0,0
Ward 3,2241,Apartment (5+ stories),0,0,0,0
Ward 3,2241,Apartment (1-4 stories),410,8,31,0
Ward 3,2241,Manufactured/Mobile Home,0,0,0,0
Ward 3,2241,Institution/Collective Residence,1,0,0,0
Ward 3,2241,Hotel/Motel,0,0,0,0
Ward 3,2241,RV/Tent/Other,0,0,0,0
Ward 3,2241,No Response,0,0,0,0
Ward 3,2260,Single Detached House,1128,6,4,0
Ward 3,2260,Duplex/Fourplex,66,0,0,0
Ward 3,2260,Row House,375,20,2,0
Ward 3,2260,Apartment (5+ stories),0,0,0,0
Ward 3,2260,Apartment (1-4 stories),535,5,9,0
Ward 3,2260,Manufactured/Mobile Home,0,0,0,0
Ward 3,2260,Institution/Collective Residence,0,0,0,0
Ward 3,2260,Hotel/Motel,0,0,0,0
Ward 3,2260,RV/Tent/Other,0,0,1,0
Ward 3,2260,No Response,0,0,0,0
Ward 3,2410,Single Detached House,1261,28,4,0
Ward 3,2410,Duplex/Fourplex,13,1,0,0
Ward 3,2410,Row House,201,11,0,0
Ward 3,2410,Apartment (5+ stories),0,0,0,0
Ward 3,2410,Apartment (1-4 stories),619,10,32,0
Ward 3,2410,Manufactured/Mobile Home,0,0,0,0
Ward 3,2410,Institution/Collective Residence,0,0,0,0
Ward 3,2410,Hotel/Motel,0,0,0,0
Ward 3,2410,RV/Tent/Other,0,0,0,0
Ward 3,2410,No Response,0,0,0,0
Ward 3,2440,Single Detached House,1461,36,4,0
Ward 3,2440,Duplex/Fourplex,53,1,0,0
Ward 3,2440,Row House,271,15,1,0
Ward 3,2440,Apartment (5+ stories),0,0,0,0
Ward 3,2440,Apartment (1-4 stories),0,0,0,0
Ward 3,2440,Manufactured/Mobile Home,0,0,0,0
Ward 3,2440,Institution/Collective Residence,0,0,0,0
Ward 3,2440,Hotel/Motel,0,0,0,0
Ward 3,2440,RV/Tent/Other,0,0,0,0
Ward 3,2440,No Response,0,0,0,0
Ward 3,2450,Single Detached House,1241,6,5,0
Ward 3,2450,Duplex/Fourplex,7,0,0,0
Ward 3,2450,Row House,133,7,0,0
Ward 3,2450,Apartment (5+ stories),0,0,0,0
Ward 3,2450,Apartment (1-4 stories),0,0,0,0
Ward 3,2450,Manufactured/Mobile Home,0,0,0,0
Ward 3,2450,Institution/Collective Residence,0,0,0,0
Ward 3,2450,Hotel/Motel,0,0,0,0
Ward 3,2450,RV/Tent/Other,0,0,0,0
Ward 3,2450,No Response,0,0,0,0
Ward 3,2461,Single Detached House,0,0,0,0
Ward 3,2461,Duplex/Fourplex,0,0,0,0
Ward 3,2461,Row House,0,0,0,0
Ward 3,2461,Apartment (5+ stories),0,0,0,0
Ward 3,2461,Apartment (1-4 stories),0,0,0,0
Ward 3,2461,Manufactured/Mobile Home,0,0,0,0
Ward 3,2461,Institution/Collective Residence,0,0,0,0
Ward 3,2461,Hotel/Motel,0,0,0,0
Ward 3,2461,RV/Tent/Other,0,0,0,0
Ward 3,2461,No Response,0,0,0,0
Ward 3,2511,Single Detached House,1204,7,5,0
Ward 3,2511,Duplex/Fourplex,69,0,0,0
Ward 3,2511,Row House,0,0,0,0
Ward 3,2511,Apartment (5+ stories),0,0,0,0
Ward 3,2511,Apartment (1-4 stories),0,0,0,0
Ward 3,2511,Manufactured/Mobile Home,0,0,0,0
Ward 3,2511,Institution/Collective Residence,0,0,0,0
Ward 3,2511,Hotel/Motel,0,0,0,0
Ward 3,2511,RV/Tent/Other,0,0,0,0
Ward 3,2511,No Response,0,0,0,0
Ward 3,2600,Single Detached House,1114,6,2,0
Ward 3,2600,Duplex/Fourplex,88,1,0,0
Ward 3,2600,Row House,62,0,1,0
Ward 3,2600,Apartment (5+ stories),0,0,0,0
Ward 3,2600,Apartment (1-4 stories),117,1,2,0
Ward 3,2600,Manufactured/Mobile Home,0,0,0,0
Ward 3,2600,Institution/Collective Residence,0,0,0,0
Ward 3,2600,Hotel/Motel,0,0,0,0
Ward 3,2600,RV/Tent/Other,1,0,0,0
Ward 3,2600,No Response,0,0,0,0
Ward 3,2700,Single Detached House,550,37,1,0
Ward 3,2700,Duplex/Fourplex,11,2,0,0
Ward 3,2700,Row House,102,11,2,0
Ward 3,2700,Apartment (5+ stories),60,64,2,0
Ward 3,2700,Apartment (1-4 stories),100,12,1,0
Ward 3,2700,Manufactured/Mobile Home,0,0,0,0
Ward 3,2700,Institution/Collective Residence,0,0,0,0
Ward 3,2700,Hotel/Motel,0,0,0,0
Ward 3,2700,RV/Tent/Other,0,0,0,0
Ward 3,2700,No Response,0,0,0,0
