WARD,NEIGHBOURHOOD_NUMBER,STRUCTURE_TYPE,OCCUPIED,UNOCCUPIED,NO_LONGER_IN_USE,NO_RESPONSE
Ward 1,4090,Apartment (5+ stories),0,0,98,0
Ward 1,4090,Apartment (1-4 stories),758,82,8,0
Ward 1,4090,Manufactured/Mobile Home,0,0,0,0
Ward 1,4090,Institution/Collective Residence,1,0,0,0
Ward 1,4090,Hotel/Motel,1,1,0,0
Ward 1,4090,RV/Tent/Other,0,0,0,0
Ward 1,4090,No Response,0,0,0,0
Ward 1,4100,Single Detached House,0,0,0,0
Ward 1,4100,Duplex/Fourplex,0,0,0,0
Ward 1,4100,Row House,0,0,0,0
Ward 1,4100,Apartment (5+ stories),0,0,0,0
Ward 1,4100,Apartment (1-4 stories),0,0,0,0
Ward 1,4100,Manufactured/Mobile Home,0,0,0,0
Ward 1,4100,Institution/Collective Residence,0,0,0,0
Ward 1,4100,Hotel/Motel,0,0,0,0
Ward 1,4100,RV/Tent/Other,0,0,0,0
Ward 1,4100,No Response,0,0,0,0
Ward 1,4130,Single Detached House,0,0,0,0
Ward 1,4130,Duplex/Fourplex,0,0,0,0
Ward 1,4130,Row House,0,0,0,0
Ward 1,4130,Apartment (5+ stories),0,0,0,0
Ward 1,4130,Apartment (1-4 stories),0,0,0,0
Ward 1,4130,Manufactured/Mobile Home,0,0,0,0
Ward 1,4130,Institution/Collective Residence,0,0,0,0
Ward 1,4130,Hotel/Motel,0,0,0,0
Ward 1,4130,RV/Tent/Other,0,0,0,0
Ward 1,4130,No Response,0,0,0,0
Ward 1,4180,Single Detached House,937,51,24,0
Ward 1,4180,Duplex/Fourplex,87,3,3,0
Ward 1,4180,Row House,31,0,1,0
Ward 1,4180,Apartment (5+ stories),225,8,2,0
Ward 1,4180,Apartment (1-4 stories),982,62,21,0
Ward 1,4180,Manufactured/Mobile Home,0,0,0,0
Ward 1,4180,Institution/Collective Residence,6,0,2,0
Ward 1,4180,Hotel/Motel,1,0,0,0
Ward 1,4180,RV/Tent/Other,0,0,0,0
Ward 1,4180,No Response,0,0,0,0
Ward 1,4190,Single Detached House,0,0,0,0
Ward 1,4190,Duplex/Fourplex,0,0,0,0
Ward 1,4190,Row House,0,0,0,0
Ward 1,4190,Apartment (5+ stories),0,0,0,0
Ward 1,4190,Apartment (1-4 stories),0,0,0,0
Ward 1,4190,Manufactured/Mobile Home,0,0,0,0
Ward 1,4190,Institution/Collective Residence,0,0,0,0
Ward 1,4190,Hotel/Motel,0,0,0,0
Ward 1,4190,RV/Tent/Other,0,0,0,0
Ward 1,4190,No Response,0,0,0,0
Ward 1,4200,Single Detached House,567,66,12,0
